ID,es,en
1,Iniciar Video,Start Video
2,Capturar 1,Capture 1
3,Capturar 2,Capture 2
4,Cargar 1,Load 1
5,Cargar 2,Load 2
6,Guardar 1,Save 1
7,Limpiar todo,Clear All
8,Guardar 2,Save 2
9,Procesar,Process
10,Exportar datos,Export Data
11,Detener Video,Stop Video
